matchweek,position,team,league,season
26,19,Levante,LaLiga,2025/2026
26,20,Real Oviedo,LaLiga,2025/2026
27,1,Barcelona,LaLiga,2025/2026
27,2,Real Madrid,LaLiga,2025/2026
27,3,Atlético,LaLiga,2025/2026
27,4,Villarreal,LaLiga,2025/2026
27,5,Real Betis,LaLiga,2025/2026
27,6,Celta de Vigo,LaLiga,2025/2026
27,7,Espanyol,LaLiga,2025/2026
27,8,Real Sociedad,LaLiga,2025/2026
27,9,Getafe,LaLiga,2025/2026
27,10,Athletic Club,LaLiga,2025/2026
27,11,CA Osasuna,LaLiga,2025/2026
27,12,Valencia,LaLiga,2025/2026
27,13,Sevilla FC,LaLiga,2025/2026
27,14,Rayo Vallecano,LaLiga,2025/2026
27,15,Girona,LaLiga,2025/2026
27,16,Alavés,LaLiga,2025/2026
27,17,Elche CF,LaLiga,2025/2026
27,18,RCD Mallorca,LaLiga,2025/2026
27,19,Levante,LaLiga,2025/2026
27,20,Real Oviedo,LaLiga,2025/2026
28,1,Barcelona,LaLiga,2025/2026
28,2,Real Madrid,LaLiga,2025/2026
28,3,Atlético,LaLiga,2025/2026
28,4,Villarreal,LaLiga,2025/2026
28,5,Real Betis,LaLiga,2025/2026
28,6,Celta de Vigo,LaLiga,2025/2026
28,7,Real Sociedad,LaLiga,2025/2026
28,8,Espanyol,LaLiga,2025/2026
28,9,Getafe,LaLiga,2025/2026
28,10,Athletic Club,LaLiga,2025/2026
28,11,Girona,LaLiga,2025/2026
28,12,CA Osasuna,LaLiga,2025/2026
28,13,Rayo Vallecano,LaLiga,2025/2026
28,14,Valencia,LaLiga,2025/2026
28,15,Sevilla FC,LaLiga,2025/2026
28,16,RCD Mallorca,LaLiga,2025/2026
28,17,Alavés,LaLiga,2025/2026
28,18,Elche CF,LaLiga,2025/2026
28,19,Levante,LaLiga,2025/2026
28,20,Real Oviedo,LaLiga,2025/2026
29,1,Barcelona,LaLiga,2025/2026
29,2,Real Madrid,LaLiga,2025/2026
29,3,Villarreal,LaLiga,2025/2026
29,4,Atlético,LaLiga,2025/2026
29,5,Real Betis,LaLiga,2025/2026
