position,team_name_besoccer,team_id_besoccer,elo_besoccer,url_team_besoccer,league,season
9,Levante,1547,80,https://www.besoccer.com/team/levante,LaLiga,2027
10,Malaga,1617,73,https://www.besoccer.com/team/malaga,LaLiga,2027
11,Osasuna,1887,84,https://www.besoccer.com/team/osasuna,LaLiga,2027
12,Racing Santander,2052,77,https://www.besoccer.com/team/racing,LaLiga,2027
13,Deportivo A Coruña,901,75,https://www.besoccer.com/team/deportivo,LaLiga,2027
14,Real Betis,486,88,https://www.besoccer.com/team/betis,LaLiga,2027
15,Real Madrid,2107,95,https://www.besoccer.com/team/real-madrid,LaLiga,2027
16,Real Sociedad,2120,88,https://www.besoccer.com/team/real-sociedad,LaLiga,2027
17,Valencia,2647,85,https://www.besoccer.com/team/valencia-cf,LaLiga,2027
18,Villarreal,2716,89,https://www.besoccer.com/team/villarreal,LaLiga,2027
19,Rayo Vallecano,2080,83,https://www.besoccer.com/team/rayo-vallecano,LaLiga,2027
20,Getafe,1217,83,https://www.besoccer.com/team/getafe,LaLiga,2027
1,Angers,224,79,https://www.besoccer.com/team/angers-sco,Ligue 1,2027
2,Auxerre,399,82,https://www.besoccer.com/team/auxerre,Ligue 1,2027
3,Le Havre,1527,76,https://www.besoccer.com/team/havre-ac,Ligue 1,2027
4,Le Mans,1528,72,https://www.besoccer.com/team/mans-uc-72,Ligue 1,2027
5,Lens,1544,86,https://www.besoccer.com/team/lens,Ligue 1,2027
6,Lille,3015,90,https://www.besoccer.com/team/losc-lille,Ligue 1,2027
7,Lorient,1586,82,https://www.besoccer.com/team/lorient,Ligue 1,2027
8,Monaco,1713,89,https://www.besoccer.com/team/monaco,Ligue 1,2027
9,Nice,1799,86,https://www.besoccer.com/team/nice,Ligue 1,2027
10,Lyon,1866,89,https://www.besoccer.com/team/olympique-lyonnais,Ligue 1,2027
11,Marseille,5117,89,https://www.besoccer.com/team/olympique-marsella,Ligue 1,2027
12,Paris FC,1925,80,https://www.besoccer.com/team/paris-sg,Ligue 1,2027
13,Paris Saint-Germain,1924,94,https://www.besoccer.com/team/paris-saint-germain-fc,Ligue 1,2027
14,Brest,2420,85,https://www.besoccer.com/team/stade-brestois-29,Ligue 1,2027
15,Rennes,3863,86,https://www.besoccer.com/team/stade-rennes,Ligue 1,2027
16,Strasbourg,2430,85,https://www.besoccer.com/team/strasbourg,Ligue 1,2027
17,Toulouse,2524,84,https://www.besoccer.com/team/toulouse-fc,Ligue 1,2027
18,Troyes,2539,75,https://www.besoccer.com/team/troyes,Ligue 1,2027
1,Monza,47,78,https://www.besoccer.com/team/ac-monza-brianza-1912,Serie a,2027
2,Atalanta,339,91,https://www.besoccer.com/team/atalanta,Serie a,2027
3,Bologna,522,89,https://www.besoccer.com/team/bologna,Serie a,2027
4,Cagliari,609,80,https://www.besoccer.com/team/cagliari,Serie a,2027
5,Como,822,82,https://www.besoccer.com/team/como,Serie a,2027
6,Fiorentina,1142,88,https://www.besoccer.com/team/fiorentina,Serie a,2027
7,Frosinone,1174,77,https://www.besoccer.com/team/frosinone-calcio,Serie a,2027
8,Genoa,4101,83,https://www.besoccer.com/team/genoa,Serie a,2027
9,Inter,1381,94,https://www.besoccer.com/team/internazionale,Serie a,2027
10,Juventus,1430,91,https://www.besoccer.com/team/juventus-fc,Serie a,2027
11,Lazio,1526,89,https://www.besoccer.com/team/lazio,Serie a,2027
12,Lecce,1531,79,https://www.besoccer.com/team/lecce,Serie a,2027
13,Milan,1692,91,https://www.besoccer.com/team/milan,Serie a,2027
14,Napoli,1777,90,https://www.besoccer.com/team/napoli,Serie a,2027
15,Parma,1927,81,https://www.besoccer.com/team/parma-fc,Serie a,2027
16,Roma,2176,90,https://www.besoccer.com/team/roma,Serie a,2027
17,Sassuolo,2634,83,https://www.besoccer.com/team/us-sassuolo-calcio,Serie a,2027
18,Torino,2508,85,https://www.besoccer.com/team/torino-fc,Serie a,2027
19,Udinese,2573,83,https://www.besoccer.com/team/udinese,Serie a,2027
20,Venezia,2673,80,https://www.besoccer.com/team/venezia,Serie a,2027
1,AFC Bournemouth,80,86,https://www.besoccer.com/team/afc-bournemouth,Premier League,2027
2,Arsenal,263,94,https://www.besoccer.com/team/arsenal,Premier League,2027
3,Aston Villa,297,89,https://www.besoccer.com/team/aston-villa-fc,Premier League,2027
4,Brentford,9179,86,https://www.besoccer.com/team/brentford,Premier League,2027
5,Brighton & Hove Albion,5652,88,https://www.besoccer.com/team/brighton-amp-hov,Premier League,2027
6,Chelsea,752,91,https://www.besoccer.com/team/chelsea-fc,Premier League,2027
7,Coventry City,9189,78,https://www.besoccer.com/team/coventry-city,Premier League,2027
8,Crystal Palace,860,88,https://www.besoccer.com/team/crystal-palace-fc,Premier League,2027
9,Everton,1017,85,https://www.besoccer.com/team/everton-fc,Premier League,2027
10,Fulham,1183,86,https://www.besoccer.com/team/fulham,Premier League,2027
11,Hull City,1341,73,https://www.besoccer.com/team/hull-city,Premier League,2027
12,Ipswich Town,1387,80,https://www.besoccer.com/team/ipswich-town-fc,Premier League,2027
13,Leeds United,1533,84,https://www.besoccer.com/team/leeds-united-afc,Premier League,2027
14,Liverpool,3845,95,https://www.besoccer.com/team/liverpool,Premier League,2027
15,Manchester City,1633,93,https://www.besoccer.com/team/manchester-city-fc,Premier League,2027
16,Manchester United,1635,89,https://www.besoccer.com/team/manchester-united-fc,Premier League,2027
17,Newcastle United,1796,90,https://www.besoccer.com/team/newcastle-united-fc,Premier League,2027
18,Nottingham Forest,1825,85,https://www.besoccer.com/team/nottingham-forest-fc,Premier League,2027
19,Sunderland,2438,77,https://www.besoccer.com/team/sunderland-afc,Premier League,2027
20,Tottenham Hotspur,2523,88,https://www.besoccer.com/team/tottenham-hotspur-fc,Premier League,2027
