name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Chelsea,Chelsea,8455,https://www.fotmob.com/teams/8455/overview/chelsea,https://images.fotmob.com/image_resources/logo/teamlogo/8455.png,2026/2027,47,Premier League,ENG,Stamford Bridge,London,51.481711963,-0.190974623,Grass,40044,1877,https://cdn.resfu.com/img_data/estadios/original_new/39.jpg?size=720x432c&lossy=1
Coventry City,Coventry,8669,https://www.fotmob.com/teams/8669/overview/coventry-city,https://images.fotmob.com/image_resources/logo/teamlogo/8669.png,2026/2027,47,Premier League,ENG,Coventry Building Society Arena,"Coventry, West Midlands",52.448111389,-1.495629251,Grass,32609,2005,https://cdn.resfu.com/img_data/estadios/original_new/3540.jpg?size=720x&lossy=1
Crystal Palace,Crystal Palace,9826,https://www.fotmob.com/teams/9826/overview/crystal-palace,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png,2026/2027,47,Premier League,ENG,Selhurst Park,London,51.398278578,-0.085503459,Grass,25486,1924,https://cdn.resfu.com/img_data/estadios/original_new/128.jpg?size=720x432c&lossy=1
Everton,Everton,8668,https://www.fotmob.com/teams/8668/overview/everton,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png,2026/2027,47,Premier League,ENG,Hill Dickinson Stadium,"Liverpool, Merseyside",53.424981480,-3.002691341,Grass,52769,0,https://cdn.resfu.com/img_data/estadios/original_new/7031.jpg?size=720x432c&lossy=1
Fulham,Fulham,9879,https://www.fotmob.com/teams/9879/overview/fulham,https://images.fotmob.com/image_resources/logo/teamlogo/9879.png,2026/2027,47,Premier League,ENG,Craven Cottage,London,51.474897956,-0.221647024,Grass,29589,1896,https://cdn.resfu.com/img_data/estadios/original_new/380.jpg?size=720x432c&lossy=1
Hull City,Hull,8667,https://www.fotmob.com/teams/8667/overview/hull-city,https://images.fotmob.com/image_resources/logo/teamlogo/8667.png,2026/2027,47,Premier League,ENG,MKM Stadium,Hull,53.746239635,-0.367639661,Grass,25586,2002,https://cdn.resfu.com/img_data/estadios/original_new/353.jpg?size=720x432c&lossy=1
Ipswich Town,Ipswich,9902,https://www.fotmob.com/teams/9902/overview/ipswich-town,https://images.fotmob.com/image_resources/logo/teamlogo/9902.png,2026/2027,47,Premier League,ENG,Portman Road,"Ipswich, Suffolk",52.054949657,1.145263016,Grass,30056,1884,https://cdn.resfu.com/img_data/estadios/original_new/1335.jpg?size=720x432c&lossy=1
Leeds United,Leeds,8463,https://www.fotmob.com/teams/8463/overview/leeds-united,https://images.fotmob.com/image_resources/logo/teamlogo/8463.png,2026/2027,47,Premier League,ENG,Elland Road,"Leeds, West Yorkshire",53.777833534,-1.572278738,Grass,37645,1897,https://cdn.resfu.com/img_data/estadios/original_new/431.jpg?size=720x432c&lossy=1
Liverpool,Liverpool,8650,https://www.fotmob.com/teams/8650/overview/liverpool,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png,2026/2027,47,Premier League,ENG,Anfield,Liverpool,53.430827885,-2.960852981,Grass,61276,1884,https://cdn.resfu.com/img_data/estadios/original_new/43.jpg?size=720x432c&lossy=1
Manchester City,Man City,8456,https://www.fotmob.com/teams/8456/overview/manchester-city,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png,2026/2027,47,Premier League,ENG,Etihad Stadium,Manchester,53.483152259,-2.200409174,Grass,61470,2002,https://cdn.resfu.com/img_data/estadios/original_new/41.jpg?size=720x432c&lossy=1
